CODE INSEE;NOM DE LA COMMUNE;CODE POSTAL;LIBELLE D'ACHEMINEMENT;Y Centroid;Nom Region;Nom Dept;statut;Code Region;Code Commune;Z Moyen;code;X Centroid;geom_x_y;geom;Id Geofla;X Chef Lieu;Code Canton;Superficie;Population;Nom Commune;Code Arrondissement;Y Chef Lieu;Code commune complet
30189;NIMES;30000;NIMES;63060;LANGUEDOC-ROUSSILLON;GARD;Préfecture;91;189;102;30;8084;43.844938394,4.34806796996;"{""type"": ""Polygon"", ""coordinates"": [[[4.4049630345, 43.7712681081], [4.4095328889, 43.7581320017], [4.4042480114, 43.7487142772], [4.3943233807, 43.7418848506], [4.3851469177, 43.7422809506], [4.3666708732, 43.7530082337], [4.3432948831, 43.7568449752], [4.3316500014, 43.7926818008], [4.3241003522, 43.8014588482], [4.3146562755, 43.8019961538], [4.3041438715, 43.813453544], [4.2878097716, 43.8387221629], [4.2891472076, 43.845645567], [4.277270493, 43.8517434484], [4.239094543, 43.8571788159], [4.2372793141, 43.8744439855], [4.2484929556, 43.8876908906], [4.2487434618, 43.8940243464], [4.2562177557, 43.8960177201], [4.2698137107, 43.90571605], [4.2835200961, 43.905168789], [4.2845588794, 43.9081807788], [4.3131325016, 43.897445209], [4.3317490301, 43.8961846612], [4.3486942863, 43.9069305174], [4.3868037815, 43.9034199456], [4.3909622695, 43.9049781976], [4.3903697836, 43.9082530372], [4.3810618561, 43.9161568549], [4.3926930648, 43.9218327357], [4.3971958041, 43.9206051167], [4.4061447784, 43.9133525692], [4.4078865886, 43.8971466215], [4.4257404498, 43.8963208944], [4.4184550517, 43.8585948021], [4.4312944944, 43.8492555224], [4.4351245818, 43.8393315921], [4.4496293866, 43.83073329], [4.413300555, 43.8332622044], [4.4146547959, 43.8236771905], [4.3980913898, 43.8133153969], [4.3698357793, 43.7960156392], [4.3808849497, 43.7853370492], [4.393254426, 43.7821195706], [4.4049630345, 43.7712681081]]]}";17592;8093;99;16118;140.7;NIMES;2;63051;30189
56260;VANNES;56000;VANNES;67445;BRETAGNE;MORBIHAN;Préfecture;53;260;21;56;2682;47.6597493766,-2.75714329498;"{""type"": ""Polygon"", ""coordinates"": [[[-2.7434926528, 47.6273178707], [-2.7483462461, 47.6205807267], [-2.7600190233, 47.6410148323], [-2.7646487884, 47.6304885285], [-2.7813084089, 47.6323081046], [-2.7774831429, 47.6264598571], [-2.78869362, 47.6336745658], [-2.7977137316, 47.6498149104], [-2.8152659784, 47.6565585909], [-2.812942457, 47.6596256727], [-2.7977815764, 47.6608674272], [-2.798104611, 47.6742627621], [-2.7968036958, 47.6836683612], [-2.776869857, 47.6934558743], [-2.7680290753, 47.6916819254], [-2.7643471611, 47.6816296761], [-2.7500437734, 47.6793660525], [-2.7427115013, 47.6704857922], [-2.7277578213, 47.6692172501], [-2.7152620651, 47.6752806693], [-2.7029444974, 47.6691871404], [-2.6892538527, 47.6739704377], [-2.6815342676, 47.6706195095], [-2.6868109866, 47.6614826428], [-2.7100600289, 47.6493282928], [-2.7280134717, 47.6553248676], [-2.7372144327, 47.6524541253], [-2.7371824329, 47.6454615265], [-2.7468367755, 47.6374053806], [-2.7434926528, 47.6273178707]]]}";4575;2678;99;3323;52.7;VANNES;3;67440;56260
71270;MACON;71000;MACON;65795;BOURGOGNE;SAONE-ET-LOIRE;Préfecture;26;270;210;71;8394;46.3205511756,4.81842529639;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[4.8510507702, 46.3523397156], [4.8374126014, 46.3521640039], [4.8356336314, 46.3491572563], [4.822292996, 46.3473446742], [4.8208115923, 46.3442608957], [4.8124967431, 46.347275663], [4.8052510988, 46.3559112953], [4.8118070027, 46.3606080737], [4.8180217821, 46.3659674448], [4.8216169693, 46.3762411845], [4.839460511, 46.3782336263], [4.841273001, 46.3717733025], [4.8585299799, 46.3680166379], [4.8510507702, 46.3523397156]]], [[[4.7872178907, 46.2734476898], [4.7578697901, 46.2764896183], [4.7597975698, 46.2875654741], [4.7842462141, 46.2858880263], [4.8011904425, 46.2930791602], [4.8178025165, 46.3096945992], [4.8014959635, 46.3224914703], [4.8077608605, 46.3263823943], [4.8102088227, 46.3382779213], [4.8219079993, 46.3314983206], [4.8514231098, 46.3260777265], [4.8412173781, 46.3118045669], [4.8329260692, 46.2994363079], [4.8264888192, 46.2763282338], [4.8128758077, 46.2794731227], [4.7893564421, 46.2764855153], [4.7872178907, 46.2734476898]]]]}";4484;8409;99;2703;34.1;MACON;5;65800;71270
43157;LE PUY EN VELAY;43000;LE PUY EN VELAY;64368;AUVERGNE;HAUTE-LOIRE;Préfecture;83;157;750;43;7705;45.0276366659,3.89535229067;"{""type"": ""Polygon"", ""coordinates"": [[[3.8660264881, 44.9991607278], [3.8622184468, 44.9999376515], [3.8646109237, 45.0052946526], [3.8617340705, 45.0072258747], [3.8809787005, 45.0259303198], [3.8817000507, 45.0362616428], [3.8725813493, 45.0386746075], [3.8758780443, 45.0480763418], [3.8766720413, 45.0541660917], [3.881580092, 45.048805738], [3.8952511776, 45.0506056394], [3.9053468422, 45.056701107], [3.9047140762, 45.0505652005], [3.9100900451, 45.045262801], [3.9221677132, 45.0405441668], [3.9339895078, 45.0305047238], [3.9242895699, 45.0229048856], [3.9146707867, 45.0224440599], [3.905594341, 45.0107585384], [3.8871544429, 45.0086109261], [3.8796189319, 44.9999905714], [3.8660264881, 44.9991607278]]]}";6597;7696;99;1687;18.8;LE PUY-EN-VELAY;2;64386;43157
38185;GRENOBLE;38100;GRENOBLE;64573;RHONE-ALPES;ISERE;Préfecture;82;185;219;38;9137;45.1821215167,5.72133051752;"{""type"": ""Polygon"", ""coordinates"": [[[5.7430197699, 45.1663769442], [5.7355809671, 45.1546579946], [5.7310174142, 45.1548148584], [5.7256809611, 45.1592248757], [5.6996480547, 45.1604524808], [5.7007461107, 45.1726246285], [5.7013608205, 45.1879618141], [5.7012827495, 45.1950361218], [5.6881840164, 45.2056230445], [5.6780576019, 45.2131730038], [5.6810637953, 45.2133981804], [5.7203813709, 45.199698771], [5.7258250718, 45.2049627238], [5.7389178747, 45.2016691413], [5.7442643581, 45.1896271253], [5.7489327143, 45.1889536576], [5.7467433772, 45.1858902249], [5.7519286937, 45.1729688306], [5.7430197699, 45.1663769442]]]}";34851;9140;98;1856;155.6;GRENOBLE;1;64578;38185
5061;GAP;5000;GAP;63914;PROVENCE-ALPES-COTE D'AZUR;HAUTES-ALPES;Préfecture;93;61;1113;05;9432;44.5798600596,6.06486052138;"{""type"": ""Polygon"", ""coordinates"": [[[6.0708809646, 44.4969477637], [6.0569388413, 44.495398245], [6.0525558433, 44.5011682379], [6.0438544911, 44.5036789869], [6.0399734739, 44.5052454707], [6.0392147736, 44.517815742], [6.0339857769, 44.5229055635], [6.0174941652, 44.5269974464], [6.0213961255, 44.5333139784], [6.0326699812, 44.5396713059], [6.0320476571, 44.5430937917], [6.0225776513, 44.5509120665], [6.0129190931, 44.5505275028], [6.01466224, 44.5732545416], [6.0243331944, 44.5747378267], [6.0414115619, 44.5866562966], [6.0494295308, 44.599480549], [6.0475719342, 44.6134060736], [6.0327433015, 44.6226251123], [6.018680071, 44.6259651727], [5.999789816, 44.6253984337], [5.9842785996, 44.6340796851], [5.9821060691, 44.6409491872], [5.9902684202, 44.6430530541], [5.9895188275, 44.6636502733], [6.001003207, 44.6638257241], [6.01299298, 44.6588148784], [6.0241783101, 44.6637800106], [6.0332721887, 44.662927324], [6.0467621441, 44.6455647137], [6.044533469, 44.6323463136], [6.0516894876, 44.6277253697], [6.0657366592, 44.6252734435], [6.0911159813, 44.6332606775], [6.0902640916, 44.6232478864], [6.0943351376, 44.617205707], [6.102578566, 44.6143437666], [6.1205666739, 44.616873436], [6.1339987308, 44.61411472], [6.1395816492, 44.6126678346], [6.1382076098, 44.5954623875], [6.1219039613, 44.5781576226], [6.1222534526, 44.5746790893], [6.1243739737, 44.568132283], [6.1333153791, 44.5664193393], [6.1327747466, 44.5630381045], [6.1169355647, 44.5555401699], [6.1084459335, 44.5400403002], [6.1106331037, 44.5335550466], [6.0930263609, 44.5294463164], [6.0879473615, 44.512804585], [6.080557985, 44.5084436233], [6.0811041347, 44.5016085286], [6.0708809646, 44.4969477637]]]}";17729;9443;99;10878;39.2;GAP;2;63891;5061
24322;PERIGUEUX;24000;PERIGUEUX;64573;AQUITAINE;DORDOGNE;Préfecture;72;322;110;24;5203;45.1918704873,0.711825549847;"{""type"": ""Polygon"", ""coordinates"": [[[0.7205551708, 45.1737192101], [0.7110000886, 45.1753612628], [0.7041613075, 45.1803102908], [0.6933393835, 45.1996255637], [0.6888585804, 45.2010642751], [0.6766329679, 45.1901990296], [0.6736088285, 45.2000990036], [0.6829875202, 45.2013029222], [0.6882738731, 45.2102584155], [0.6917424828, 45.2135910831], [0.6991297099, 45.2053570335], [0.7127247002, 45.2063209334], [0.7202788771, 45.1979538824], [0.734356916, 45.1989070228], [0.7379740818, 45.1967373978], [0.7309776809, 45.1892630017], [0.7397028959, 45.1873952171], [0.7436810136, 45.1797379592], [0.731526032, 45.1770234306], [0.7272339787, 45.1779630118], [0.7205551708, 45.1737192101]]]}";30094;5207;97;1014;29.3;PERIGUEUX;3;64564;24322
54395;NANCY;54000;NANCY;68480;LORRAINE;MEURTHE-ET-MOSELLE;Préfecture;41;395;231;54;9337;48.6901995499,6.17588254434;"{""type"": ""Polygon"", ""coordinates"": [[[6.162289985, 48.668135076], [6.1612862886, 48.6791799823], [6.1551765415, 48.6883076374], [6.1360800713, 48.6906659205], [6.1368961864, 48.7006361986], [6.1499356553, 48.7062424589], [6.1654847772, 48.7049575304], [6.1799990286, 48.7085770766], [6.1924492208, 48.7030954035], [6.2038729844, 48.6986571349], [6.2126364058, 48.6730986811], [6.2004217309, 48.6758399139], [6.1941046548, 48.6718954854], [6.1876776216, 48.6768296357], [6.162289985, 48.668135076]]]}";19776;9342;98;1494;106.3;NANCY;3;68483;54395
81004;ALBI;81000;ALBI;63144;MIDI-PYRENEES;TARN;Préfecture;73;4;182;81;6314;43.9258213622,2.14686328555;"{""type"": ""Polygon"", ""coordinates"": [[[2.1401685794, 43.8887886277], [2.1261291576, 43.8970650582], [2.1171844651, 43.8976051034], [2.1237669663, 43.9009520973], [2.1301330988, 43.9136479454], [2.11786743, 43.9186525889], [2.0898194409, 43.9168474695], [2.0754255972, 43.9084555222], [2.0744464688, 43.9074212241], [2.0702147893, 43.9020212621], [2.0538116476, 43.8966153557], [2.0540597729, 43.8996685109], [2.0629101676, 43.9117598794], [2.0891555848, 43.9178769441], [2.088181844, 43.927390928], [2.0996873743, 43.9369184937], [2.1135097048, 43.9378865227], [2.1165623508, 43.9442473609], [2.1114772296, 43.957229454], [2.1354553445, 43.9584477631], [2.1541813667, 43.9694125534], [2.1572359006, 43.966790067], [2.1547476266, 43.9539095459], [2.1642323535, 43.9536494767], [2.1772277284, 43.9397438895], [2.1858401387, 43.9419594155], [2.1901628815, 43.9419195354], [2.2026836609, 43.9292495645], [2.2030625884, 43.9261923334], [2.1973428234, 43.9140905222], [2.211643597, 43.9008568699], [2.1995376202, 43.8898610245], [2.1885408631, 43.8965747109], [2.1833104568, 43.9063635738], [2.1701983766, 43.9100807006], [2.1434943984, 43.8952136741], [2.1401685794, 43.8887886277]]]}";970;6313;96;4493;48.9;ALBI;1;63147;81004
95500;PONTOISE;95300;PONTOISE;68838;ILE-DE-FRANCE;VAL-D'OISE;Préfecture;11;500;51;95;6338;49.0513737853,2.09487928948;"{""type"": ""Polygon"", ""coordinates"": [[[2.0906582784, 49.0239665978], [2.0842047167, 49.0316959594], [2.0854504175, 49.0378382181], [2.0722217665, 49.0471696487], [2.0948147721, 49.0702628997], [2.0904147166, 49.0722169096], [2.0991924848, 49.0695764335], [2.1072870332, 49.0612562643], [2.1202223478, 49.0650294152], [2.1265237737, 49.0638254959], [2.1005172546, 49.0460540179], [2.0957938734, 49.0360731191], [2.0906582784, 49.0239665978]]]}";14851;6342;19;725;29.8;PONTOISE;3;68838;95500
