Département;Participation;Sarkozy;Royal;Bayrou;Le Pen;Besancenot;Villiers;Buffet;Voynet;Laguiller;Bové;Nihous;Schivardi
YVELINES;87.4;37.7;23.1;21.9;7.3;2.8;1.9;1.3;1.6;0.9;0.9;0.5;0.2
DEUX SEVRES;87.0;26.6;33.9;19.0;5.8;4.0;4.1;1.0;1.5;1.2;1.1;1.6;0.3
SOMME;84.3;27.7;24.9;14.3;14.4;5.9;2.2;2.3;1.2;2.4;1.0;3.4;0.4
TARN;88.4;27.0;29.3;18.8;10.6;3.9;2.1;1.9;1.4;1.2;1.9;1.5;0.6
TARN ET GARONNE;88.0;28.7;26.8;17.4;12.5;3.7;2.4;1.6;1.3;1.1;1.8;2.2;0.6
VAR;83.5;39.7;18.7;15.3;13.9;3.2;2.3;1.8;1.4;1.0;1.2;1.1;0.4
VAUCLUSE;85.3;32.6;21.5;15.5;16.6;3.5;2.9;1.8;1.4;1.0;1.7;1.3;0.4
VENDEE;88.1;29.7;21.7;20.8;6.5;3.6;11.3;0.9;1.6;1.1;0.9;1.6;0.3
VIENNE;85.8;27.9;29.2;19.0;8.4;4.3;3.2;1.6;1.6;1.4;1.3;1.9;0.3
HAUTE VIENNE;86.8;25.1;31.5;17.8;8.6;5.5;2.3;3.2;1.4;1.5;1.4;1.4;0.5
VOSGES;85.0;29.1;22.8;17.7;15.7;4.9;2.5;1.1;1.6;1.8;1.5;1.0;0.4
YONNE;83.8;32.3;20.7;17.5;14.2;4.3;3.1;1.7;1.4;1.5;1.4;1.4;0.4
TERRITOIRE DE BELFORT;84.3;30.0;25.0;15.3;14.8;5.1;2.3;1.2;1.9;1.8;1.5;0.8;0.4
ESSONNE;87.1;31.5;27.3;20.5;8.7;3.6;1.8;2.0;1.8;1.1;1.0;0.5;0.2
HAUTS DE SEINE;86.9;38.3;26.0;21.3;5.5;2.5;1.3;1.7;1.5;0.7;0.8;0.2;0.2
SEINE SAINT-DENIS;83.0;26.9;34.1;16.7;9.0;4.2;1.3;3.5;1.4;1.1;1.2;0.3;0.3
VAL DE MARNE;85.6;31.8;29.0;19.8;7.3;3.5;1.4;3.1;1.6;0.9;1.1;0.3;0.3
VAL D'OISE;85.8;32.4;27.8;19.0;9.2;3.7;1.7;1.8;1.6;1.1;1.0;0.4;0.2
FRANCAIS DE L'ETRANGER;40.3;38.5;29.9;21.5;3.3;1.3;0.9;0.6;2.0;0.5;1.2;0.2;0.1
GUADELOUPE;59.1;42.6;38.3;8.5;3.2;2.6;0.5;0.8;1.2;1.1;0.9;0.2;0.2
MARTINIQUE;59.0;33.8;48.5;8.6;2.1;2.6;0.5;0.6;0.9;1.3;0.9;0.2;0.1
GUYANE;58.8;41.4;32.5;12.5;5.5;2.6;0.5;0.6;1.5;1.0;1.4;0.3;0.2
LA REUNION;72.6;25.1;46.2;13.3;4.9;2.6;0.6;3.0;1.3;1.2;1.4;0.3;0.2
SAINT PIERRE ET MIQUELON;63.1;24.9;26.6;23.0;6.7;6.5;0.6;0.3;2.9;1.5;5.1;1.6;0.2
MAYOTTE;46.3;30.5;27.9;25.7;4.2;3.1;0.7;1.4;1.5;1.9;1.7;0.8;0.5
WALLIS-ET-FUTUNA ;64.6;43.6;39.5;11.2;1.2;1.0;0.2;0.6;0.8;0.9;0.6;0.4;0.2
POLYNESIE FRANCAISE;69.1;45.2;41.7;7.2;1.9;0.8;0.3;0.2;1.3;0.4;0.6;0.2;0.2
NOUVELLE CALEDONIE;62.7;49.7;23.7;8.9;5.7;1.7;0.8;0.4;1.9;0.8;5.9;0.4;0.2
